standort;klasser;idr;BookletT1;BookletT2;s1m11a091;s1m11a101;s1m11a111;s1m11b131;s1m11b141;s1m11b151;s1m12a171;s1m12a191;s1m12a671;s1m12b021;s1m12b021neu;s1m12b201;s1m21a231;s1m21a241;s1m21a291;s1m21b032;s1m21b052;s1m21b261;s1m21b262;s1m22a013;s1m22a022neu;s1m22a082;s1m22b043;s1m22b073;s1m22b511;s1m23a081;s1m23a301;s1m23a311;s1m23b331;s1m23b351;s1m23b651;s1m24a371;s1m24a391;s1m24a421;s1m24b053;s1m24b401;s1m24b411;s1m31a452;s1m31a461;s1m31a471;s1m31b044;s1m31b083;s1m31b481;s1m32a011;s1m32a031;s1m32a431;s1m32b054;s1m32b062;s1m32b072;s1m33a012;s1m33a531;s1m33a541;s1m33b074;s1m33b561;s1m33b571;s1m34a281;s1m34a451;s1m34a631;s1m34b023;s1m34b023neu;s1m34b051;s1m34b084;s2m11a091;s2m11a101;s2m11a111;s2m11b131;s2m11b141;s2m11b151;s2m12a171;s2m12a191;s2m12a671;s2m12b021;s2m12b201;s2m21a231;s2m21a241;s2m21a291;s2m21b032;s2m21b052;s2m21b261;s2m21b262;s2m22a013;s2m22a082;s2m22b043;s2m22b073;s2m22b511;s2m23a081;s2m23a301;s2m23a311;s2m23b331;s2m23b351;s2m23b651;s2m24a371;s2m24a391;s2m24a421;s2m24b053;s2m24b401;s2m24b411;s2m31a452;s2m31a461;s2m31a471;s2m31b044;s2m31b083;s2m31b481;s2m32a011;s2m32a031;s2m32a431;s2m32b054;s2m32b062;s2m32b072;s2m33a012;s2m33a531;s2m33a541;s2m33b074;s2m33b561;s2m33b571;s2m34a281;s2m34a451;s2m34a631;s2m34b023;s2m34b051;s2m34b084
1;1011;101101;1;1;1;9999;0;9999;0;9999;9999;9999;0;9999;9999;0;9999;9999;9999;0;9999;9999;9999;0;9999;9999;1;9999;0;9999;9999;0;0;9999;0;9999;0;9999;0;666;9999;9999;9999;0;1;9999;0;0;0;9999;0;9999;9999;0;0;1;9999;9999;9999;0;9999;0;9999;9999;9999;9999;9999;1;9999;0;9999;0;0;0;9999;0;9999;9999;0;1;9999;9999;1;1;9999;0;9999;1;9999;1;1;9999;9999;0;9999;0;9999;0;9999;9999;1;0;0;9999;9999;0;9999;9999;9999;1;9999;0;1;9999;9999;9999;1;0;0;9999;0;9999;0;9999;0
1;1011;101102;2;2;9999;0;9999;0;0;9999;9999;1;9999;9999;1;1;0;666;9999;9999;9999;1;0;0;0;9999;9999;0;9999;9999;9999;9999;9999;0;0;1;9999;1;9999;0;9999;0;0;9999;9999;9999;0;1;9999;9999;9999;0;1;0;9999;9999;1;9999;0;1;0;9999;9999;0;9999;9999;666;9999;666;9999;9999;666;666;9999;666;9999;9999;9999;9999;666;666;666;9999;9999;9999;666;0;9999;666;666;9999;666;666;9999;9999;9999;666;9999;666;9999;666;9999;9999;666;0;666;9999;9999;666;666;666;9999;9999;9999;0;666;9999;666;9999;9999;9999;666;9999;666;666
1;1011;101103;3;3;0;666;0;9999;9999;9999;9999;9999;0;0;0;9999;9999;9999;9999;0;9999;0;0;9999;0;0;0;9999;0;9999;9999;0;0;9999;9999;9999;0;0;0;9999;9999;9999;0;0;0;9999;9999;9999;0;9999;0;0;9999;9999;0;0;9999;9999;666;9999;9999;0;0;0;9999;9999;9999;9999;9999;0;666;0;0;1;9999;9999;1;666;0;1;9999;9999;9999;9999;666;9999;9999;0;9999;1;9999;9999;9999;0;666;1;9999;9999;9999;666;0;0;9999;9999;9999;0;1;666;9999;0;9999;9999;0;666;9999;9999;0;0;9999;1;0;9999;9999;9999;0
1;1011;101104;4;4;666;9999;9999;0;9999;0;0;0;9999;9999;9999;9999;9999;0;0;666;9999;9999;9999;9999;9999;0;0;0;9999;0;9999;9999;666;0;9999;0;666;9999;9999;9999;0;0;9999;9999;0;0;9999;9999;666;0;9999;9999;0;9999;0;9999;0;0;9999;9999;0;666;9999;9999;9999;0;9999;0;1;9999;1;9999;9999;9999;1;0;1;0;9999;9999;9999;0;1;0;0;0;9999;9999;1;9999;1;0;9999;9999;0;9999;9999;0;0;1;9999;9999;0;1;9999;9999;0;1;9999;9999;0;0;9999;0;9999;0;9999;9999;0;1;9999;9999;0;0;9999
1;1011;101105;5;5;9999;1;9999;9999;0;0;0;9999;9999;9999;1;0;0;9999;0;9999;9999;1;0;1;0;0;9999;9999;9999;0;9999;9999;9999;9999;1;9999;9999;0;9999;0;1;9999;0;9999;9999;0;0;0;9999;0;9999;0;9999;0;9999;9999;9999;0;0;1;9999;9999;9999;0;9999;0;0;9999;0;0;9999;9999;9999;0;1;9999;9999;9999;0;9999;1;1;9999;9999;9999;9999;0;0;1;9999;9999;0;1;0;9999;0;1;9999;0;9999;9999;0;9999;1;0;9999;9999;9999;1;9999;1;9999;1;9999;0;0;1;9999;9999;9999;1;0;9999;0;9999
1;1011;101106;6;6;9999;9999;0;0;9999;0;0;1;0;9999;9999;9999;9999;0;0;9999;0;9999;9999;9999;9999;0;9999;0;0;0;9999;1;9999;0;9999;0;9999;9999;0;9999;0;0;9999;0;9999;0;9999;9999;9999;1;0;9999;0;9999;9999;1;1;0;9999;9999;0;9999;9999;9999;0;0;0;0;9999;9999;0;9999;9999;9999;9999;0;1;0;9999;9999;0;9999;1;1;0;9999;1;9999;9999;9999;1;9999;0;9999;0;9999;1;1;9999;0;9999;9999;0;9999;0;9999;1;1;0;9999;9999;0;9999;1;1;9999;9999;9999;1;0;9999;1;0;9999;9999
1;1011;101107;1;1;0;9999;0;9999;0;9999;9999;9999;0;9999;9999;0;0;9999;9999;0;0;9999;9999;1;9999;9999;1;9999;0;9999;9999;0;1;9999;0;9999;0;9999;0;666;9999;9999;9999;0;1;9999;0;1;0;9999;0;9999;9999;0;0;1;9999;9999;9999;0;9999;0;9999;9999;0;9999;9999;0;9999;0;9999;0;0;1;9999;0;9999;9999;0;0;9999;9999;1;1;9999;0;9999;0;9999;0;0;9999;9999;1;9999;0;9999;0;9999;9999;0;0;0;9999;9999;0;9999;9999;9999;0;9999;0;1;9999;9999;9999;1;1;0;9999;0;9999;0;9999;0
1;1011;101108;2;2;9999;666;9999;666;0;9999;9999;666;9999;9999;1;1;0;666;9999;9999;9999;1;0;0;0;9999;9999;666;9999;9999;9999;9999;9999;666;0;666;9999;0;9999;0;9999;666;0;9999;9999;9999;0;1;9999;9999;9999;0;666;0;9999;9999;666;9999;666;1;666;9999;9999;0;9999;9999;1;9999;666;9999;9999;666;0;9999;666;9999;9999;9999;9999;666;0;666;9999;9999;9999;9999;1;9999;666;1;9999;666;1;9999;9999;9999;1;9999;666;9999;666;9999;9999;666;1;0;9999;9999;1;666;666;9999;9999;9999;0;666;9999;0;9999;9999;9999;1;9999;666;0
1;1011;101109;3;3;1;1;1;9999;9999;9999;9999;9999;0;9999;1;9999;9999;9999;9999;0;1;1;1;9999;0;9999;1;9999;0;9999;9999;1;1;9999;9999;9999;1;1;1;9999;9999;9999;0;0;1;9999;9999;9999;0;9999;1;1;9999;9999;1;1;9999;9999;1;9999;9999;0;9999;1;1;9999;9999;9999;9999;1;1;1;0;1;9999;9999;1;666;0;1;9999;9999;9999;9999;1;0;9999;1;9999;1;9999;9999;9999;1;1;1;9999;9999;9999;666;1;1;9999;9999;9999;1;1;1;9999;1;9999;9999;1;1;9999;9999;1;1;9999;1;1;9999;9999;9999;1
1;1011;101110;4;4;0;9999;9999;0;9999;0;0;1;9999;9999;9999;9999;9999;0;0;0;9999;9999;9999;9999;9999;0;1;0;9999;0;9999;9999;1;0;9999;0;0;9999;9999;9999;0;0;9999;9999;1;0;9999;9999;0;0;9999;9999;1;9999;1;9999;1;0;9999;9999;0;1;9999;9999;9999;0;9999;0;0;9999;0;9999;9999;9999;1;0;1;0;9999;9999;9999;0;1;1;0;9999;9999;9999;0;9999;1;0;9999;9999;0;9999;9999;0;0;0;9999;9999;0;0;9999;9999;0;1;9999;9999;0;0;9999;0;9999;1;9999;9999;1;0;9999;9999;0;0;9999
1;1011;101111;5;5;9999;0;9999;9999;0;666;666;9999;9999;9999;1;0;0;9999;666;9999;9999;0;0;0;0;9999;9999;9999;9999;1;9999;9999;9999;9999;0;9999;9999;0;9999;0;666;9999;0;9999;9999;666;1;0;9999;666;9999;0;9999;0;9999;9999;9999;666;0;1;9999;9999;9999;0;9999;666;0;9999;0;0;9999;9999;9999;0;1;9999;9999;9999;666;9999;1;1;9999;9999;9999;9999;1;0;0;9999;9999;0;0;0;9999;1;0;9999;0;9999;9999;0;9999;0;0;9999;9999;9999;1;9999;0;9999;0;9999;0;0;1;9999;9999;9999;0;0;9999;0;9999
1;1011;101112;6;6;9999;9999;0;0;9999;0;0;1;0;9999;9999;9999;9999;0;0;9999;0;9999;9999;9999;9999;0;9999;0;0;1;9999;0;9999;0;9999;0;9999;9999;0;9999;0;0;9999;0;9999;0;9999;9999;9999;1;0;9999;0;9999;9999;0;0;0;9999;9999;0;9999;9999;9999;1;1;0;1;9999;9999;0;9999;9999;9999;9999;0;1;0;9999;9999;0;9999;0;1;1;9999;1;9999;9999;9999;1;9999;0;9999;0;9999;0;1;9999;0;9999;9999;0;9999;1;9999;0;1;0;9999;9999;0;9999;0;0;9999;9999;9999;0;0;9999;0;0;9999;9999
1;1011;101113;1;1;0;9999;0;9999;0;9999;9999;9999;0;9999;9999;0;0;9999;9999;0;1;9999;9999;1;9999;9999;0;9999;0;9999;9999;0;0;9999;0;9999;0;9999;0;0;9999;9999;9999;0;0;9999;0;1;0;9999;0;9999;9999;0;1;0;9999;9999;9999;0;9999;1;9999;9999;1;9999;9999;0;9999;0;9999;666;0;1;9999;1;9999;9999;0;666;9999;9999;1;1;9999;0;9999;0;9999;1;0;9999;9999;0;9999;0;9999;1;9999;9999;666;0;0;9999;9999;0;9999;9999;9999;666;9999;1;1;9999;9999;9999;1;666;1;9999;0;9999;1;9999;0
1;1011;101114;2;2;9999;0;9999;0;0;9999;9999;0;9999;9999;1;0;0;0;9999;9999;9999;1;1;0;0;9999;9999;0;9999;9999;9999;9999;9999;0;0;0;9999;1;9999;0;9999;0;0;9999;9999;9999;1;1;9999;9999;9999;0;0;0;9999;9999;1;9999;0;1;0;9999;9999;0;9999;9999;0;9999;0;9999;9999;0;0;9999;0;9999;9999;9999;9999;1;1;0;9999;9999;9999;0;0;9999;0;1;9999;0;1;9999;9999;9999;0;9999;0;9999;0;9999;9999;1;1;0;9999;9999;0;1;0;9999;9999;9999;0;666;9999;0;9999;9999;9999;1;9999;0;0
1;1011;101115;9999;6;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;0;0;9999;9999;0;9999;9999;9999;9999;0;1;0;9999;9999;0;9999;0;1;0;9999;0;9999;9999;9999;0;9999;0;9999;0;9999;0;0;9999;0;9999;9999;1;9999;0;9999;0;1;1;9999;9999;0;9999;0;1;9999;9999;9999;0;1;9999;1;0;9999;9999
1;1021;102101;3;3;0;666;0;9999;9999;9999;9999;9999;0;9999;0;9999;9999;9999;9999;0;1;0;1;9999;0;9999;1;9999;0;9999;666;0;0;9999;9999;9999;0;1;0;9999;9999;9999;0;0;1;9999;9999;9999;0;9999;0;0;9999;9999;0;1;9999;9999;666;9999;9999;1;9999;0;1;9999;9999;9999;9999;1;1;1;0;1;9999;9999;1;1;0;1;9999;9999;9999;9999;0;0;9999;0;9999;1;9999;9999;9999;1;0;1;9999;9999;9999;0;0;0;9999;9999;9999;0;0;0;9999;1;9999;9999;0;0;9999;9999;1;0;9999;1;1;9999;9999;9999;0
1;1021;102102;4;4;0;9999;9999;0;9999;0;0;1;9999;9999;9999;9999;9999;0;0;0;9999;9999;9999;9999;9999;9999;0;1;9999;1;9999;9999;1;0;9999;1;0;9999;9999;9999;0;0;9999;9999;1;1;9999;9999;0;1;9999;9999;1;9999;0;9999;1;0;9999;9999;1;1;9999;9999;9999;0;9999;1;0;9999;0;9999;9999;9999;0;0;1;1;9999;9999;9999;1;1;1;0;9999;9999;9999;1;9999;1;1;9999;9999;0;9999;9999;1;0;1;9999;9999;0;1;9999;9999;1;0;9999;9999;1;1;9999;1;9999;0;9999;9999;0;1;9999;9999;0;1;9999
1;1021;102103;5;5;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;0;9999;1;0;9999;9999;9999;1;1;9999;9999;9999;0;9999;1;1;9999;9999;9999;9999;1;0;1;9999;9999;0;0;0;9999;0;0;9999;0;9999;9999;0;9999;0;1;9999;9999;9999;0;9999;1;9999;1;9999;0;0;0;9999;9999;9999;1;1;9999;1;9999
1;1021;102104;6;6;9999;9999;1;0;9999;0;0;1;0;9999;9999;9999;9999;0;0;9999;0;9999;9999;9999;9999;0;9999;0;0;0;9999;0;9999;0;9999;0;9999;9999;0;9999;0;0;9999;0;9999;0;9999;9999;9999;1;0;9999;0;9999;9999;0;0;0;9999;9999;0;9999;9999;9999;0;0;0;0;9999;9999;1;9999;9999;9999;9999;0;1;1;9999;9999;0;9999;0;1;0;9999;1;9999;9999;9999;1;9999;0;9999;0;9999;0;0;9999;0;9999;9999;0;9999;1;9999;0;0;0;9999;9999;1;9999;0;0;9999;9999;9999;0;1;9999;0;0;9999;9999
1;1021;102105;1;1;1;9999;1;9999;0;9999;9999;9999;0;9999;9999;0;0;9999;9999;0;1;9999;9999;0;9999;9999;1;9999;1;9999;9999;0;1;9999;0;9999;0;9999;0;666;9999;9999;9999;0;1;9999;1;0;0;9999;0;9999;9999;0;1;0;9999;9999;9999;0;9999;1;9999;9999;0;9999;9999;0;9999;0;9999;1;0;1;9999;1;9999;9999;0;1;9999;9999;1;0;9999;0;9999;0;9999;1;1;9999;9999;1;9999;0;9999;1;9999;9999;0;1;0;9999;9999;0;9999;9999;9999;0;9999;0;1;9999;9999;9999;0;0;0;9999;1;9999;0;9999;0
1;1021;102106;2;2;9999;1;9999;0;0;9999;9999;0;9999;9999;1;1;0;0;9999;9999;9999;1;0;0;0;9999;9999;1;9999;9999;0;9999;9999;0;1;0;9999;0;9999;0;9999;0;0;9999;9999;9999;1;1;9999;9999;9999;0;1;1;9999;9999;0;9999;0;1;1;9999;9999;0;9999;9999;1;9999;1;9999;9999;0;0;9999;1;9999;9999;9999;9999;0;0;0;9999;9999;9999;0;1;9999;1;0;9999;0;1;9999;9999;9999;0;9999;0;9999;0;9999;9999;0;1;0;9999;9999;0;1;1;9999;9999;9999;1;0;9999;0;9999;9999;9999;1;9999;1;0
1;1021;102107;3;3;1;1;1;9999;9999;9999;9999;9999;0;9999;1;9999;9999;9999;9999;0;1;0;0;9999;0;0;1;9999;0;9999;1;0;0;9999;9999;9999;0;1;1;9999;9999;9999;0;1;1;9999;9999;9999;0;9999;0;0;9999;9999;0;0;9999;9999;0;9999;9999;1;9999;0;1;9999;9999;9999;9999;0;0;0;0;1;9999;9999;1;0;0;0;9999;9999;9999;9999;1;0;9999;0;9999;1;9999;9999;9999;1;0;1;9999;9999;9999;0;0;0;9999;9999;9999;0;0;1;9999;0;9999;9999;1;1;9999;9999;1;0;9999;0;0;9999;9999;9999;0
1;1021;102108;4;4;666;9999;9999;0;9999;0;0;1;9999;9999;9999;9999;9999;0;0;666;9999;9999;9999;9999;9999;0;0;0;9999;1;9999;9999;666;0;9999;1;0;9999;9999;9999;0;0;9999;9999;1;0;9999;9999;0;1;9999;9999;1;9999;0;9999;0;0;9999;9999;1;666;9999;9999;9999;0;9999;0;0;9999;0;9999;9999;9999;0;0;1;0;9999;9999;9999;0;1;0;0;9999;9999;9999;0;9999;1;0;9999;9999;0;9999;9999;0;0;0;9999;9999;0;0;9999;9999;0;1;9999;9999;0;1;9999;0;9999;0;9999;9999;0;0;9999;9999;1;0;9999
1;1021;102109;5;5;9999;0;9999;9999;0;0;0;9999;9999;9999;1;0;0;9999;0;9999;9999;0;1;0;0;0;9999;9999;9999;0;0;9999;9999;9999;1;9999;9999;1;9999;0;0;9999;0;9999;9999;0;0;1;9999;1;9999;0;9999;0;9999;9999;9999;0;0;1;9999;9999;9999;0;9999;0;0;9999;0;0;9999;9999;9999;1;0;9999;9999;9999;0;9999;0;1;9999;9999;9999;9999;1;0;0;9999;9999;0;0;0;9999;1;1;9999;1;9999;9999;0;9999;1;1;9999;9999;9999;0;9999;0;9999;1;9999;0;0;0;9999;9999;9999;0;0;9999;1;9999
1;1021;102110;6;6;9999;9999;1;0;9999;0;1;0;0;9999;9999;9999;9999;0;0;9999;0;9999;9999;9999;9999;0;9999;0;0;1;9999;1;9999;0;9999;0;9999;9999;0;9999;1;0;9999;0;9999;0;9999;9999;9999;1;1;9999;1;9999;9999;0;0;0;9999;9999;1;9999;9999;9999;1;0;1;0;9999;9999;0;9999;9999;9999;9999;0;1;1;9999;9999;1;9999;1;1;1;9999;1;9999;9999;9999;1;9999;1;9999;0;9999;0;0;9999;1;9999;9999;0;9999;1;9999;0;1;1;9999;9999;0;9999;0;1;9999;9999;9999;1;1;9999;1;0;9999;9999
1;1021;102111;1;1;1;9999;1;9999;0;9999;9999;9999;0;9999;9999;1;0;9999;9999;0;0;9999;9999;0;9999;0;0;9999;0;9999;9999;0;0;9999;1;9999;0;9999;0;0;9999;9999;9999;0;0;9999;0;1;0;9999;0;9999;9999;1;1;0;9999;9999;9999;0;9999;0;9999;9999;0;9999;9999;0;9999;0;9999;0;0;0;9999;0;9999;9999;0;0;9999;9999;0;1;9999;0;9999;0;9999;0;0;9999;9999;0;9999;0;9999;0;9999;9999;1;0;0;9999;9999;0;9999;9999;9999;1;9999;0;0;9999;9999;9999;0;1;0;9999;0;9999;0;9999;0
1;1021;102112;9999;2;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;1;9999;1;9999;9999;0;0;9999;1;9999;9999;9999;9999;0;0;0;9999;9999;9999;0;1;9999;1;0;9999;1;1;9999;9999;9999;0;9999;0;9999;1;9999;9999;1;1;0;9999;9999;1;1;1;9999;9999;9999;0;0;9999;1;9999;9999;9999;1;9999;0;0
1;1021;102113;3;3;1;0;1;9999;9999;9999;9999;9999;0;9999;1;9999;9999;9999;9999;0;1;0;0;9999;0;9999;1;9999;0;9999;0;1;0;9999;9999;9999;0;0;0;9999;9999;9999;0;0;0;9999;9999;9999;0;9999;1;0;9999;9999;0;0;9999;9999;0;9999;9999;1;9999;0;0;9999;9999;9999;9999;0;0;0;0;1;9999;9999;1;0;0;0;9999;9999;9999;9999;1;0;9999;0;9999;1;9999;9999;9999;0;0;1;9999;9999;9999;0;0;0;9999;9999;9999;0;0;1;9999;0;9999;9999;1;0;9999;9999;0;0;9999;0;0;9999;9999;9999;0
1;1021;102115;5;5;9999;0;9999;9999;0;0;0;9999;9999;9999;0;1;0;9999;0;9999;9999;0;1;0;0;9999;9999;9999;9999;1;0;9999;9999;9999;0;9999;9999;1;9999;0;0;9999;0;9999;9999;0;0;1;9999;1;9999;1;9999;1;9999;9999;9999;0;0;0;9999;9999;9999;0;9999;0;0;9999;1;0;9999;9999;9999;0;1;9999;9999;9999;0;9999;0;0;9999;9999;9999;9999;1;0;0;9999;9999;1;1;0;9999;1;0;9999;0;9999;9999;1;9999;0;0;9999;9999;9999;0;9999;1;9999;1;9999;1;0;0;9999;9999;9999;0;1;9999;0;9999
1;1021;102116;6;6;9999;9999;1;0;9999;0;0;1;0;9999;9999;9999;9999;0;1;9999;0;9999;9999;9999;9999;9999;9999;1;666;1;9999;666;9999;0;9999;0;9999;9999;0;9999;0;0;9999;1;9999;0;9999;9999;9999;1;1;9999;1;9999;9999;666;1;0;9999;9999;1;9999;9999;9999;1;0;0;0;9999;9999;1;9999;9999;9999;9999;0;1;1;9999;9999;0;9999;1;1;1;9999;1;9999;9999;9999;1;9999;1;9999;1;9999;0;1;9999;0;9999;9999;0;9999;1;9999;1;1;1;9999;9999;1;9999;1;1;9999;9999;9999;1;1;9999;0;0;9999;9999
1;1021;102117;1;1;0;9999;1;9999;0;9999;9999;9999;0;9999;9999;0;0;9999;9999;0;0;9999;9999;0;9999;9999;0;9999;0;9999;9999;1;1;9999;0;9999;0;9999;0;0;9999;9999;9999;0;0;9999;1;0;0;9999;1;9999;9999;0;0;0;9999;9999;9999;1;9999;1;9999;9999;1;9999;9999;0;9999;0;9999;0;1;1;9999;0;9999;9999;0;1;9999;9999;1;1;9999;0;9999;0;9999;0;0;9999;9999;0;9999;0;9999;0;9999;9999;1;0;0;9999;9999;0;9999;9999;9999;1;9999;0;0;9999;9999;9999;0;0;1;9999;1;9999;0;9999;0
1;1021;102118;2;2;9999;1;9999;0;0;9999;9999;1;9999;9999;0;0;0;1;9999;9999;9999;0;1;1;0;9999;9999;0;9999;9999;1;9999;9999;0;0;0;9999;0;9999;0;9999;0;0;9999;9999;9999;0;1;9999;9999;9999;0;0;0;9999;9999;0;9999;0;0;0;9999;9999;0;9999;9999;0;9999;0;9999;9999;0;0;9999;0;9999;9999;9999;9999;0;0;0;9999;9999;9999;0;1;9999;0;1;9999;1;0;9999;9999;9999;0;9999;0;9999;0;9999;9999;0;1;0;9999;9999;0;0;1;9999;9999;9999;0;0;9999;0;9999;9999;9999;1;9999;0;0
1;1021;102119;3;3;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;0;1;0;0;0;9999;9999;0;1;0;1;9999;9999;9999;9999;0;0;9999;1;9999;1;9999;9999;9999;1;0;1;9999;9999;9999;0;1;0;9999;9999;9999;0;1;0;9999;1;9999;9999;1;0;9999;9999;0;0;9999;1;1;9999;9999;9999;0
1;1021;102120;4;4;0;9999;9999;0;9999;0;0;1;9999;9999;9999;9999;9999;0;0;0;9999;9999;9999;9999;9999;0;1;0;9999;0;9999;9999;1;1;9999;1;1;9999;9999;9999;0;0;9999;9999;0;0;9999;9999;0;0;9999;9999;1;9999;1;9999;0;0;9999;9999;0;1;9999;9999;9999;0;9999;1;1;9999;0;9999;9999;9999;0;0;1;0;9999;9999;9999;0;1;1;0;9999;9999;9999;0;9999;1;0;9999;9999;0;9999;9999;1;0;0;9999;9999;0;1;9999;9999;0;1;9999;9999;0;1;9999;1;9999;1;9999;9999;0;0;9999;9999;0;1;9999
1;1021;102121;5;5;9999;1;9999;9999;0;0;1;9999;9999;9999;1;1;0;9999;0;9999;9999;1;1;1;0;9999;9999;9999;9999;1;1;9999;9999;9999;0;9999;9999;1;9999;0;0;9999;0;9999;9999;0;0;0;9999;0;9999;1;9999;0;9999;9999;9999;0;0;1;9999;9999;9999;1;9999;0;1;9999;1;0;9999;9999;9999;1;1;9999;9999;9999;0;9999;0;0;9999;9999;9999;9999;0;0;0;9999;9999;1;1;1;9999;1;1;9999;0;9999;9999;1;9999;0;1;9999;9999;9999;1;9999;1;9999;1;9999;0;1;1;9999;9999;9999;1;0;9999;0;9999
1;1022;102201;6;6;9999;9999;0;0;9999;0;0;1;0;9999;9999;9999;9999;0;0;9999;1;9999;9999;9999;9999;0;9999;0;0;1;9999;0;9999;0;9999;1;9999;9999;0;9999;0;0;9999;0;9999;0;9999;9999;9999;1;1;9999;1;9999;9999;666;0;0;9999;9999;1;9999;9999;9999;1;1;1;1;9999;9999;1;9999;9999;9999;9999;0;1;0;9999;9999;1;9999;1;1;0;9999;1;9999;9999;9999;1;9999;1;9999;0;9999;0;0;9999;0;9999;9999;0;9999;1;9999;0;0;1;9999;9999;0;9999;0;1;9999;9999;9999;1;1;9999;0;1;9999;9999
1;1022;102202;1;1;0;9999;0;9999;0;9999;9999;9999;0;9999;9999;1;0;9999;9999;0;1;9999;9999;0;9999;9999;1;9999;0;9999;9999;0;1;9999;0;9999;0;9999;0;666;9999;9999;9999;1;1;9999;0;1;0;9999;0;9999;9999;1;0;0;9999;9999;9999;0;9999;1;9999;9999;1;9999;9999;0;9999;1;9999;0;0;1;9999;0;9999;9999;0;1;9999;9999;1;1;9999;0;9999;0;9999;1;1;9999;9999;1;9999;1;9999;1;9999;9999;1;0;1;9999;9999;0;9999;9999;9999;0;9999;0;0;9999;9999;9999;0;1;1;9999;0;9999;0;9999;0
1;1022;102203;2;2;9999;1;9999;666;0;9999;9999;666;9999;9999;1;1;0;666;9999;9999;9999;1;1;0;0;9999;9999;666;9999;9999;1;9999;9999;666;0;0;9999;1;9999;1;9999;666;0;9999;9999;9999;0;0;9999;9999;9999;0;1;0;9999;9999;666;9999;0;1;666;9999;9999;1;9999;9999;1;9999;1;9999;9999;1;0;9999;1;9999;9999;9999;9999;1;1;1;9999;9999;9999;0;1;9999;0;0;9999;0;1;9999;9999;9999;0;9999;0;9999;0;9999;9999;1;1;1;9999;9999;1;1;1;9999;9999;9999;0;0;9999;0;9999;9999;9999;1;9999;1;0
1;1022;102204;3;3;0;666;0;9999;9999;9999;9999;9999;0;9999;1;9999;9999;9999;9999;0;1;1;0;9999;0;9999;0;9999;0;9999;0;1;0;9999;9999;9999;1;1;1;9999;9999;9999;0;0;1;9999;9999;9999;0;9999;1;0;9999;9999;1;1;9999;9999;0;9999;9999;1;9999;0;1;9999;9999;9999;9999;1;0;1;0;1;9999;9999;1;0;0;0;9999;9999;9999;9999;0;0;9999;0;9999;1;9999;9999;9999;1;1;0;9999;9999;9999;1;0;0;9999;9999;9999;0;0;0;9999;1;9999;9999;1;0;9999;9999;1;0;9999;0;0;9999;9999;9999;0
1;1022;102205;4;4;666;9999;9999;0;9999;0;1;1;9999;9999;9999;9999;9999;0;0;666;9999;9999;9999;9999;9999;0;1;0;9999;1;9999;9999;666;0;9999;0;0;9999;9999;9999;1;0;9999;9999;1;1;9999;9999;666;1;9999;9999;1;9999;1;9999;1;0;9999;9999;1;666;9999;9999;9999;1;9999;0;1;9999;1;9999;9999;9999;1;0;1;1;9999;9999;9999;1;1;1;1;9999;9999;9999;1;9999;1;1;9999;9999;1;9999;9999;1;1;1;9999;9999;0;1;9999;9999;1;1;9999;9999;1;0;9999;1;9999;1;9999;9999;1;1;9999;9999;1;1;9999
1;1022;102207;6;6;9999;9999;0;0;9999;0;1;1;0;9999;9999;9999;9999;0;1;9999;1;9999;9999;9999;9999;0;9999;0;666;1;9999;666;9999;0;9999;0;9999;9999;1;9999;0;0;9999;0;9999;0;9999;9999;9999;1;666;9999;0;9999;9999;666;1;0;9999;9999;1;9999;9999;9999;1;0;1;1;9999;9999;0;9999;9999;9999;9999;0;0;1;9999;9999;0;9999;1;1;0;9999;1;9999;9999;9999;1;9999;0;9999;0;9999;0;0;9999;1;9999;9999;0;9999;1;9999;1;0;0;9999;9999;1;9999;0;1;9999;9999;9999;0;1;9999;0;0;9999;9999
